gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,property_valuation,age,month,Age_class,N_transactions,online_orders,approved_orders,avg_price,avg_cost,profit,lastest_purchase_days_ago,Giant_Bicycles,Norco_Bicycles,OHM_Bicycles,Solex,Trek_Bicycles,WeareA2B,Mountain,Road,Standard,Touring,high_class,low_class,medium_class,large_size,medium_size,small_size,earliest_purchase_days_ago,profit_class,frequency,recency,fav_brand
Female,93.0,Executive Secretary,Health,Mass Customer,0.0,1.0,11.0,2016.0,NSW,10.0,67.0,10.0,4,11,6,11,825.8590909090908,551.4872727272727,3018.09,7,4,2,2,2,1,0,1,3,7,0,1,2,8,0,9,2,359,Gold,5,5,Giant_Bicycles
Male,81.0,Administrative Officer,Financial Services,Mass Customer,0.0,1.0,16.0,2153.0,NSW,10.0,40.0,12.0,2,3,1,3,1383.0233333333333,640.9366666666666,2226.26,128,1,0,0,0,0,2,0,0,3,0,0,0,3,0,3,0,240,Silver,1,1,WeareA2B
Male,61.0,Recruiting Manager,Property,Mass Customer,0.0,1.0,15.0,2170.0,NSW,7.5,67.0,1.0,4,7,1,7,1360.7457142857143,890.7157142857144,3290.2099999999996,102,2,2,0,0,3,0,1,3,3,0,1,2,4,3,2,2,310,Gold,4,2,Trek_Bicycles
Male,33.0,Business Systems Development Analyst,IT,Mass Customer,0.0,0.0,7.0,4211.0,QLD,9.0,59.0,10.0,3,2,1,2,523.86,413.575,220.57,195,1,0,0,1,0,0,0,0,2,0,0,0,2,1,1,0,271,Bronze,1,1,Giant_Bicycles
Female,56.0,Senior Editor,Manufacturing,Affluent Customer,0.0,1.0,8.0,2448.0,NSW,4.0,43.0,5.0,2,6,2,6,983.8666666666667,584.7099999999999,2394.94,16,1,2,0,1,1,1,1,3,2,0,1,2,3,2,2,2,302,Silver,3,4,Norco_Bicycles
Male,35.0,Business Systems Development Analyst,Retail,High Net Worth,0.0,1.0,13.0,3216.0,VIC,9.0,54.0,9.0,3,5,2,5,1186.3380000000002,397.028,3946.55,64,2,0,0,0,1,2,0,0,5,0,1,0,4,1,4,0,336,Platinum,2,2,Giant_Bicycles
Female,6.0,Business Systems Development Analyst,Financial Services,Affluent Customer,0.0,1.0,11.0,2210.0,NSW,9.0,45.0,2.0,2,3,2,3,331.79333333333335,258.42333333333335,220.10999999999999,253,0,1,0,0,1,1,1,0,2,0,0,1,2,0,3,0,315,Bronze,1,1,Norco_Bicycles
Male,31.0,Media Manager I,Manufacturing,Mass Customer,0.0,0.0,7.0,2650.0,NSW,4.0,59.0,3.0,3,9,5,9,1103.6988888888889,507.6555555555555,5364.389999999999,22,3,2,0,1,1,2,0,1,7,1,3,2,4,3,6,0,360,Diamond,5,4,Giant_Bicycles
Female,97.0,Business Systems Development Analyst,Argiculture,Affluent Customer,0.0,1.0,8.0,2023.0,NSW,12.0,48.0,3.0,2,6,1,6,892.9250000000001,500.73999999999995,2353.1099999999997,78,1,0,1,3,0,1,0,1,5,0,1,1,4,1,5,0,329,Silver,3,2,Solex
Female,49.0,Senior Quality Engineer,Financial Services,Mass Customer,0.0,1.0,20.0,2170.0,NSW,6.0,32.0,10.0,1,5,2,5,1000.75,329.09399999999994,3358.2800000000007,43,1,0,1,1,1,1,1,1,3,0,0,1,4,1,4,0,193,Platinum,2,3,Giant_Bicycles
Male,99.0,Business Systems Development Analyst,Property,Mass Customer,0.0,0.0,9.0,3044.0,VIC,8.0,66.0,4.0,4,5,2,5,1205.3600000000001,587.048,3091.5600000000004,46,1,1,0,1,0,2,0,0,3,2,2,0,3,0,4,1,272,Gold,2,3,WeareA2B
Male,58.0,Nuclear Power Engineer,Manufacturing,Mass Customer,0.0,0.0,8.0,4557.0,QLD,4.0,26.0,7.0,0,7,3,7,913.4585714285714,407.73999999999995,3540.0299999999997,67,1,4,0,1,0,1,0,1,6,0,1,0,6,2,4,1,321,Platinum,4,2,Norco_Bicycles
Male,38.0,Developer I,Financial Services,High Net Worth,0.0,1.0,8.0,3799.0,VIC,6.0,66.0,2.0,4,7,4,7,1104.9628571428573,485.3371428571428,4337.38,27,0,2,0,2,1,2,0,1,4,2,1,0,6,3,3,1,358,Platinum,4,4,Norco_Bicycles
Female,85.0,Account Executive,Financial Services,Affluent Customer,0.0,0.0,6.0,2760.0,NSW,8.0,38.0,3.0,1,3,2,3,836.4633333333335,265.16333333333336,1713.9,47,0,1,2,0,0,0,1,0,2,0,0,1,2,0,2,1,233,Silver,1,3,OHM_Bicycles
Male,91.0,Junior Executive,Manufacturing,Mass Customer,0.0,0.0,1.0,2428.0,NSW,9.0,20.0,7.0,0,6,3,6,820.5566666666665,532.4916666666667,1728.39,35,1,2,0,2,0,1,0,2,4,0,0,0,6,0,4,2,344,Silver,3,3,Norco_Bicycles
Male,38.0,Media Manager IV,Manufacturing,Mass Customer,0.0,1.0,18.0,3331.0,VIC,4.0,44.0,2.0,2,5,1,5,1552.758,648.39,4521.839999999999,99,1,0,2,0,1,1,0,1,4,0,0,1,4,2,2,1,321,Diamond,2,2,OHM_Bicycles
Male,57.0,Sales Associate,Manufacturing,Affluent Customer,0.0,1.0,15.0,3058.0,VIC,9.0,59.0,3.0,3,5,2,5,935.238,532.116,2015.6100000000001,0,2,0,0,1,2,0,0,1,4,0,1,0,4,1,4,0,291,Silver,2,5,Giant_Bicycles
Female,79.0,Professor,Manufacturing,Affluent Customer,0.0,0.0,11.0,2135.0,NSW,12.0,53.0,7.0,3,7,4,7,1268.3742857142859,762.1771428571428,3543.38,134,3,1,1,1,0,1,0,0,6,1,4,0,3,2,4,1,280,Platinum,4,1,Giant_Bicycles
Female,76.0,Geological Engineer,Manufacturing,High Net Worth,0.0,0.0,1.0,2233.0,NSW,9.0,19.0,4.0,0,2,0,2,1474.17,605.945,1736.45,280,1,0,1,0,0,0,0,0,2,0,0,0,2,0,1,1,333,Silver,1,1,Giant_Bicycles
Male,72.0,Project Manager,Manufacturing,Mass Customer,0.0,0.0,11.0,2444.0,NSW,8.0,40.0,8.0,2,4,2,4,1654.7150000000001,752.645,3608.2799999999997,31,2,0,0,0,1,1,0,0,4,0,1,0,3,2,2,0,202,Platinum,1,4,Giant_Bicycles
Male,74.0,Safety Technician I,Manufacturing,Affluent Customer,0.0,1.0,16.0,2650.0,NSW,7.0,40.0,9.0,2,5,2,5,1489.2419999999997,643.36,4229.41,6,1,2,1,0,1,0,0,1,4,0,1,1,3,1,3,1,321,Platinum,2,5,Norco_Bicycles
Female,79.0,Business Systems Development Analyst,IT,Mass Customer,0.0,0.0,11.0,2170.0,NSW,7.5,58.0,12.0,3,8,4,7,1193.29375,548.31375,5159.84,97,1,1,1,2,2,1,0,1,7,0,0,0,8,1,6,1,358,Diamond,5,2,Solex
Male,43.0,Business Systems Development Analyst,Manufacturing,High Net Worth,0.0,1.0,1.0,2170.0,NSW,5.5,26.0,2.0,0,6,3,6,1062.96,333.6016666666667,4376.15,10,0,0,1,1,1,3,1,0,5,0,0,1,5,1,5,0,278,Platinum,3,5,WeareA2B
Female,55.0,Research Assistant I,Argiculture,Mass Customer,0.0,1.0,15.0,2153.0,NSW,10.0,43.0,12.0,2,7,3,7,983.6442857142857,456.5942857142857,3689.35,17,1,0,3,1,0,2,0,1,5,1,2,1,4,1,6,0,339,Platinum,4,4,OHM_Bicycles
Male,72.0,Accounting Assistant III,Financial Services,Mass Customer,0.0,1.0,21.0,4413.0,QLD,3.0,44.0,12.0,2,12,8,12,833.0275,388.55583333333334,5333.66,5,2,2,3,3,0,2,0,2,10,0,2,0,10,3,8,1,325,Diamond,5,5,OHM_Bicycles
Female,12.0,Editor,Financial Services,Mass Customer,0.0,1.0,16.0,4740.0,QLD,5.0,42.0,6.0,2,2,2,2,1122.925,988.8050000000001,268.2399999999999,259,0,0,1,0,0,1,0,1,0,1,0,2,0,0,1,1,272,Bronze,1,1,OHM_Bicycles
Male,37.0,Research Nurse,Health,Mass Customer,0.0,1.0,12.0,3218.0,VIC,7.0,42.0,9.0,2,7,2,7,1097.1385714285714,629.3885714285715,3274.250000000001,143,0,3,0,2,0,2,0,0,6,1,0,1,6,2,3,2,266,Gold,4,1,Norco_Bicycles
Male,5.0,Senior Quality Engineer,Health,Affluent Customer,0.0,1.0,21.0,4868.0,QLD,4.0,47.0,9.0,2,6,5,6,915.4833333333335,354.38999999999993,3366.5600000000004,83,0,2,1,1,1,1,0,1,5,0,3,0,3,1,5,0,341,Platinum,3,2,Norco_Bicycles
Female,62.0,Safety Technician III,Manufacturing,Mass Customer,0.0,0.0,19.0,4116.0,QLD,7.0,52.0,6.0,3,9,3,9,1206.1744444444444,520.0300000000001,6175.3,22,1,0,3,2,1,2,0,1,6,2,1,3,5,0,9,0,360,Diamond,5,4,OHM_Bicycles
Male,18.0,Business Systems Development Analyst,IT,Affluent Customer,0.0,1.0,6.0,2519.0,NSW,11.0,59.0,10.0,3,3,2,3,1245.5066666666664,367.52333333333337,2633.95,11,0,0,0,1,1,1,0,1,2,0,0,0,3,1,2,0,272,Gold,1,5,Solex
Female,3.0,Staff Accountant III,Telecommunications,High Net Worth,0.0,1.0,14.0,2135.0,NSW,12.0,58.0,11.0,3,4,3,4,777.4999999999999,670.9725,426.10999999999996,89,0,0,1,2,1,0,0,2,2,0,0,1,3,0,3,1,284,Bronze,1,2,Solex
Female,17.0,Legal Assistant,Manufacturing,Affluent Customer,0.0,0.0,4.0,2756.0,NSW,9.0,25.0,4.0,0,7,2,7,1124.74,721.4371428571428,2823.12,138,3,0,0,4,0,0,0,2,5,0,0,0,7,4,2,1,350,Gold,4,1,Solex
Male,44.0,Product Engineer,Manufacturing,Affluent Customer,0.0,1.0,11.0,2170.0,NSW,9.0,63.0,6.0,4,7,3,6,1340.6042857142857,584.28,5294.27,38,0,0,1,1,2,3,0,1,6,0,0,1,6,0,6,1,285,Diamond,4,3,WeareA2B
